iteration,model,aggregate_diversity,arp,dataset
1,SVD,174,165.13785790031812,ml-100k
1,TF-IDF,235,68.33679745493107,ml-100k
2,SVD,141,264.264262990456,ml-100k
2,TF-IDF,286,89.03181336161188,ml-100k
3,SVD,157,335.5416755037116,ml-100k
3,TF-IDF,333,101.93955461293744,ml-100k
4,SVD,143,358.3787910922587,ml-100k
4,TF-IDF,366,109.39745493107104,ml-100k
5,SVD,162,405.7020148462354,ml-100k
5,TF-IDF,394,115.62502651113468,ml-100k
1,SVD,649,893.3516225165563,ml-1m
1,TF-IDF,805,348.38490066225165,ml-1m
2,SVD,541,918.0688410596026,ml-1m
2,TF-IDF,983,494.4250331125828,ml-1m
3,SVD,523,1321.1559602649006,ml-1m
3,TF-IDF,1084,556.3902317880795,ml-1m
4,SVD,528,1832.495662251656,ml-1m
4,TF-IDF,1183,576.7261920529801,ml-1m
5,SVD,529,1997.479900662252,ml-1m
5,TF-IDF,1278,584.1967218543047,ml-1m
1,SVD,170,176.659877573734,lastfm-2k
1,TF-IDF,492,150.2371730662215,lastfm-2k
2,SVD,103,245.0584307178631,lastfm-2k
2,TF-IDF,516,174.06010016694492,lastfm-2k
3,SVD,129,560.0725653867557,lastfm-2k
3,TF-IDF,532,188.9525876460768,lastfm-2k
4,SVD,148,661.7563717306622,lastfm-2k
4,TF-IDF,531,197.58408458542016,lastfm-2k
5,SVD,166,699.7407902058987,lastfm-2k
5,TF-IDF,538,202.7473567056205,lastfm-2k
1,SVD,134,32.790879478827364,book-crossing
1,TF-IDF,1264,21.2885993485342,book-crossing
2,SVD,306,26.262975027144407,book-crossing
2,TF-IDF,1330,24.781216069489684,book-crossing
3,SVD,533,24.344625407166124,book-crossing
3,TF-IDF,1348,27.51368078175896,book-crossing
4,SVD,609,24.50021715526601,book-crossing
4,TF-IDF,1382,30.10944625407166,book-crossing
5,SVD,715,23.6271444082519,book-crossing
5,TF-IDF,1404,32.143865363735074,book-crossing
