model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse,dataset
ALS,0.9873638017782852,233.0871549893843,0.0329861111111111,0.2557211812499849,0.0692597292256428,0.9388535031847134,38,3.3134520901735387,,ml-100k
LogReg,0.5427733913584869,75.12494692144374,0.8871527777777778,0.1318087440268532,0.4669194809359518,0.2309978768577494,1022,3.64902227813465,,ml-100k
RandomForest,0.9447737893984972,146.9071125265393,0.203125,0.2920049006407512,0.2339196394344184,0.5345010615711253,234,3.390876661395632,,ml-100k
SVD,0.9552263946696888,157.27898089171975,0.2092013888888889,0.4338916729862558,0.1809320354889124,0.590339702760085,241,3.375588677297039,0.9311265146706889,ml-100k
SVD+PoolMMR,0.9497032760103028,142.88747346072188,0.2048611111111111,0.4169369214127345,0.2243996870576786,0.5038216560509554,236,3.751457924056173,0.9311265146706889,ml-100k
SVD+PoolPopAsc,0.9646555790280544,37.8171974522293,0.1449652777777778,-0.1411850010546367,0.5622489365858693,0.0,167,3.288436188837724,0.9311265146706889,ml-100k
SVD+PoolPopDesc,0.9702468888881868,257.84702760084923,0.1102430555555555,0.5294930948022,0.034761846838877,1.0,127,3.347932358348206,0.9311265146706889,ml-100k
SVD+Rerank,0.952724699105003,139.04872611464967,0.2222222222222222,0.3767644298955502,0.2165502347988912,0.5067940552016985,256,3.3612631338664287,0.9311265146706889,ml-100k
TF-IDF,0.9254003006653156,61.56263269639066,0.3220486111111111,0.0739472697389,0.5090866618011323,0.1556263269639065,371,2.7075879084265937,,ml-100k
k-NN,0.980010025829668,156.03630573248407,0.0850694444444444,0.3407245432069256,0.1650807604977588,0.6420382165605095,98,3.1860905847343988,1.0041114211549185,ml-100k
ALS,0.995792767311498,1178.309562479284,0.0187116564417177,0.2014722153494926,0.0431811529146696,0.9993039443155451,61,2.726110505233221,,ml-1m
LogReg,0.6102044142167544,288.6679151474975,0.9303680981595092,0.1710577105035995,0.4518310097586072,0.2534471329134902,3033,3.7758515197181,,ml-1m
RandomForest,0.9828504120289456,673.0227212462711,0.0625766871165644,0.1899268910875238,0.2582363742473631,0.5327146171693735,204,3.531282522986068,,ml-1m
SVD,0.9567712308667644,832.1001657275439,0.256441717791411,0.5180259796260517,0.1923098276433543,0.6882333443818363,836,3.463011454886377,0.8725868054030854,ml-1m
TF-IDF,0.9370010634525108,327.3251077229036,0.3619631901840491,0.2575816110307182,0.4058314845731041,0.2868578057673185,1180,2.856889978115948,,ml-1m
k-NN,0.9884685961021236,635.7241630759032,0.0708588957055214,0.2853667223878954,0.2243952063053738,0.6155618163738813,231,3.528193114787752,0.9768795566855266,ml-1m
ALS,0.992792762668512,130.62691233947515,0.0165892501658925,0.1857342026787213,0.0601199057293397,0.9999441652707984,25,8.192560191424644,,lastfm-2k
LogReg,0.682925132128572,47.15097710776103,0.9522229595222296,0.171712253056834,0.4603217369750766,0.2909547738693467,1435,9.164472304762002,,lastfm-2k
RandomForest,0.8109697643329176,86.23366834170854,0.8188453881884539,0.1298002348964798,0.3650919198217734,0.381965382467895,1234,9.377825629542546,,lastfm-2k
SVD,0.9711908357608428,138.92987158012284,0.1778367617783676,0.2448746144697396,0.2407475888622497,0.5388609715242881,268,9.37923507667854,0.9060393450343168,lastfm-2k
TF-IDF,0.9013015382135592,132.32171970965942,0.4465826144658261,0.2212229897274379,0.210044526992405,0.6470686767169179,673,9.123234989426408,,lastfm-2k
k-NN,0.8741369606276163,12.518257956448911,0.4837425348374253,-0.3729869308661012,0.7216173398141633,0.0101619207146845,729,9.167941186808925,1.3923546824487862,lastfm-2k
ALS,0.99504889272556,43.891439909297056,0.011138014527845,0.1204368677568216,0.0978678355926712,0.8956916099773242,23,3.37705431932132,,book-crossing
LogReg,0.4996836926276191,18.96490929705216,0.9312348668280872,0.2598450144052091,0.444950105142945,0.2885487528344671,1923,7.8522938885639695,,book-crossing
RandomForest,0.96776794968164,16.543367346938776,0.2484261501210653,-0.0217436906330661,0.4887434869024284,0.2039682539682539,513,5.630227924660143,,book-crossing
SVD,0.983348267359753,31.807709750566893,0.0900726392251815,0.182604497530415,0.2371162007983176,0.5695578231292517,186,6.065662591696119,1.4963172367193538,book-crossing
TF-IDF,0.6903338219064161,20.791156462585032,0.7457627118644068,0.2093131445241029,0.3878145778085246,0.3386054421768708,1540,6.927353642305588,,book-crossing
k-NN,0.9359874376419632,10.870464852607707,0.2721549636803874,-0.2347205722167812,0.6703200271230365,0.0458049886621315,562,7.170936303171816,1.7770795353278317,book-crossing
