model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005,dataset
ALS,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.1708728682547373,0.1004099756961852,0.0726598892295189,0.0632600764193398,311,310,0.0036021006184068,0.0039717754148374,0.0018010503092034,True,311,310,2.6063933466309187e-14,1.226984541114084e-15,0.999999999999987,True,ml-100k
LogReg,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.0653095323940782,0.0305313158215645,0.0150585120338462,0.0632600764193398,311,310,0.0036021006184068,0.0039717754148374,0.0018010503092034,True,311,310,6.914552711905666e-16,3.580062352911507e-14,0.9999999999999996,True,ml-100k
RandomForest,1.0441947494192678,1.0221206790012047,1.0200722765237955,0.1043802714135076,0.0644087592201311,0.0363177582305976,0.024122472895472,311,310,0.0042898778899538,0.0382346900460649,0.0021449389449769,True,311,310,2.4044178841155683e-15,2.1541706320982915e-14,0.9999999999999988,True,ml-100k
SVD,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.1465297203014767,0.080516042268657,0.043506359423945,0.005155501243359,311,310,0.1269877861439883,0.4362953469782065,0.0634938930719941,False,311,310,2.6360066634196882e-17,8.851597968579856e-19,1.0,True,ml-100k
SVD+PoolMMR,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.1444262966809541,0.0741436717916766,0.0391732761060485,0.005155501243359,311,310,0.1269877861439883,0.4362953469782065,0.0634938930719941,False,311,310,1.8491459303438285e-18,6.309227943154795e-20,1.0,True,ml-100k
SVD+PoolPopAsc,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.0211161860825502,0.0079988222465681,0.0027075194876236,0.005155501243359,311,310,0.1269877861439883,0.4362953469782065,0.0634938930719941,False,311,310,8.615871229192902e-11,3.917906021134734e-08,0.9999999999571696,True,ml-100k
SVD+PoolPopDesc,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.2474265954764626,0.1691577921809555,0.0981687492083171,0.005155501243359,311,310,0.1269877861439883,0.4362953469782065,0.0634938930719941,False,311,310,2.2610272718445896e-16,1.1058260451741102e-18,1.0,True,ml-100k
SVD+Rerank,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.1263779131043044,0.0677410246905021,0.0360362718997953,0.005155501243359,311,310,0.1269877861439883,0.4362953469782065,0.0634938930719941,False,311,310,6.634435907935844e-17,4.072554770829479e-18,1.0,True,ml-100k
TF-IDF,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.0659510156643459,0.0346465780960388,0.0233622739771076,0.0632600764193398,311,310,0.0036021006184068,0.0039717754148374,0.0018010503092034,True,311,310,6.704922160259939e-13,8.078490398737415e-09,0.9999999999996662,True,ml-100k
k-NN,1.023488057368389,0.9802473520390514,0.9754960262297512,0.1514273901396312,0.0828191976795843,0.0415562349187266,0.0479920311386378,311,310,0.0012535149956683,0.0149215898052518,0.0006267574978341,True,311,310,2.139438835627363e-17,3.3106719333024882e-18,1.0,True,ml-100k
