model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse
ALS,0.9873638017782852,233.0871549893843,0.03298611111111111,0.2557211812499849,0.06925972922564286,0.9388535031847134,38,3.3134520901735387,
LogReg,0.5427733913584869,75.12494692144374,0.8871527777777778,0.13180874402685325,0.4669194809359518,0.23099787685774947,1022,3.64902227813465,
RandomForest,0.9447737893984972,146.90711252653927,0.203125,0.29200490064075124,0.23391963943441849,0.5345010615711253,234,3.3908766613956316,
SVD,0.9552263946696888,157.27898089171975,0.2092013888888889,0.43389167298625586,0.18093203548891248,0.590339702760085,241,3.375588677297039,0.9311265146706887
SVD+PoolMMR,0.9497032760103029,142.88747346072188,0.2048611111111111,0.4169369214127345,0.22439968705767865,0.5038216560509554,236,3.751457924056173,0.9311265146706887
SVD+PoolPopAsc,0.9646555790280544,37.8171974522293,0.1449652777777778,-0.1411850010546367,0.5622489365858693,0.0,167,3.2884361888377236,0.9311265146706887
SVD+PoolPopDesc,0.9702468888881869,257.84702760084923,0.11024305555555555,0.5294930948022,0.03476184683887709,1.0,127,3.347932358348206,0.9311265146706887
SVD+Rerank,0.952724699105003,139.04872611464967,0.2222222222222222,0.37676442989555026,0.21655023479889127,0.5067940552016985,256,3.3612631338664287,0.9311265146706887
TF-IDF,0.9254003006653156,61.56263269639066,0.3220486111111111,0.0739472697389,0.5090866618011323,0.15562632696390657,371,2.7075879084265937,
k-NN,0.9800100258296681,156.03630573248407,0.08506944444444445,0.34072454320692563,0.16508076049775888,0.6420382165605095,98,3.1860905847343988,1.0041114211549185
