model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse
ALS,0.9997949489722912,28.74908020603385,0.0002862400327131466,0.03647149439544817,0.002581369263232558,1.0,14,6.092602787923191,
LogReg,0.7332347857429725,2.2237306843267106,0.5634021672459619,0.15643383065383837,0.46333937452355395,0.20277164581800344,27556,10.013050631023757,
RandomForest,0.9951842658599442,2.765207260240373,0.024882437129421387,0.02501651002130591,0.4109975476172817,0.28903605592347315,1217,8.44352553902109,
SVD,0.9817619653332117,11.519634535197449,0.11907585360866899,0.290847966179621,0.10153035674891946,0.821486387049301,5824,9.338587048253821,0.966248047519573
SVD+PoolMMR,0.9716861607260859,10.75532254108413,0.1534042118176242,0.2693752920073992,0.13055041604300208,0.7705543291636007,7503,9.797303321550702,0.966248047519573
SVD+PoolPopAsc,0.8400787764360366,1.6920529801324504,0.38961357595583723,0.03259638260546295,0.47089895445509766,0.17972774098601912,19056,10.527662430697543,0.966248047519573
SVD+PoolPopDesc,0.9981290202480521,24.68794456708364,0.009180126763443059,0.20353942757372284,0.004796522743766025,1.0,449,8.225808352580907,0.966248047519573
SVD+Rerank,0.9382890028762503,7.4423595781211676,0.23563688407278674,0.18592545763907306,0.29620128690164754,0.5033848417954379,11525,9.9897364261278,0.966248047519573
TF-IDF,0.757795125340771,3.1454991415256317,0.4895726845225925,0.2085322727817111,0.3940080956412211,0.3045131223939171,23945,10.06682840980066,
k-NN,0.9627924645666047,5.667218543046357,0.16008996115313842,0.223604376506949,0.22511869122138561,0.5748834927642875,7830,9.606565275803183,1.0210550169451866
