model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse,pool_k,rerank_lambda
SVD+Rerank_p30_l0.5,0.9536041812940911,109.19129511677282,0.2144097222222222,0.3144830559379424,0.2820021305142722,0.34936305732484074,247,3.313295899192429,0.9311265146706887,30,0.5
SVD+Rerank_p30_l0.65,0.9532294982910701,128.9975583864119,0.21875,0.3678676836540897,0.23578222679287567,0.4535031847133758,252,3.346612503465915,0.9311265146706887,30,0.65
SVD+Rerank_p30_l0.8,0.9534084541178942,141.9924628450106,0.22135416666666666,0.3892896359595819,0.20942273384052842,0.5192144373673037,255,3.3610171356738454,0.9311265146706887,30,0.8
SVD+Rerank_p30_l0.95,0.9543918818129851,151.21242038216562,0.2170138888888889,0.40433440498217793,0.19205153227471103,0.5623142250530786,250,3.370109506134633,0.9311265146706887,30,0.95
SVD+Rerank_p50_l0.5,0.9537593623509251,100.98683651804672,0.2126736111111111,0.2868843278315676,0.304632301987497,0.3043524416135881,245,3.3066325459120494,0.9311265146706887,50,0.5
SVD+Rerank_p50_l0.65,0.9528955457079545,123.07292993630573,0.2204861111111111,0.34882889773672454,0.25045254998230715,0.4245222929936306,254,3.3428303762589655,0.9311265146706887,50,0.65
SVD+Rerank_p50_l0.8,0.952724699105003,139.04872611464967,0.2222222222222222,0.37676442989555026,0.21655023479889127,0.5067940552016985,256,3.3612631338664287,0.9311265146706887,50,0.8
SVD+Rerank_p50_l0.95,0.953683061926306,150.29352441613588,0.21788194444444445,0.38866550973983033,0.1954112850908233,0.5601910828025478,251,3.3747573812112006,0.9311265146706887,50,0.95
SVD+Rerank_p100_l0.5,0.9543249807160364,89.6947983014862,0.2092013888888889,0.25178709705423313,0.3381439460957773,0.23598726114649682,241,3.3056067577531523,0.9311265146706887,100,0.5
SVD+Rerank_p100_l0.65,0.9526583509096821,115.09469214437367,0.2204861111111111,0.32379233651477235,0.2696269480567351,0.3837579617834395,254,3.331802970308176,0.9311265146706887,100,0.65
SVD+Rerank_p100_l0.8,0.9524683370503045,134.99766454352442,0.2265625,0.36931782625251725,0.22550913024887945,0.48715498938428875,261,3.3555510032226272,0.9311265146706887,100,0.8
SVD+Rerank_p100_l0.95,0.9533196212563811,149.2135881104034,0.22135416666666666,0.377679687032385,0.19823513800424628,0.5558386411889596,255,3.374542262300059,0.9311265146706887,100,0.95
