model,gini,arp,catalog_coverage,spearman_pop_vs_recfreq,avg_popularity_percentile,long_tail_share_20pct,aggregate_diversity_unique_items,metadata_token_entropy_bits,rmse,pool_k,rerank_lambda
SVD+Rerank_p30_l0.5,0.9480460122733712,6.654782928623988,0.20781026374974443,0.24156191411706351,0.24246314392535798,0.5566470443953888,10164,9.965512376727395,0.966248047519573,30,0.5
SVD+Rerank_p30_l0.65,0.9524250845828361,7.340115280843758,0.19631977100797382,0.24911142893263105,0.234786355801506,0.5698798135884229,9602,9.911669200988669,0.966248047519573,30,0.65
SVD+Rerank_p30_l0.8,0.9548890637370578,7.842592592592593,0.18992026170517276,0.2515617999932466,0.23055575251545754,0.5771891096394408,9289,9.877776104116455,0.966248047519573,30,0.8
SVD+Rerank_p30_l0.95,0.9565761974326279,8.275398577385332,0.18529952974851768,0.2537564806390744,0.22756722814405803,0.5823154280107923,9063,9.853354072451406,0.966248047519573,30,0.95
SVD+Rerank_p50_l0.5,0.9286616465031545,6.06318371351484,0.254671846248211,0.18024436527746837,0.3111195350021191,0.4775447633063527,12456,10.091905290348484,0.966248047519573,50,0.5
SVD+Rerank_p50_l0.65,0.934754631532503,6.857113073338239,0.24260887344101412,0.1845363591774607,0.3015466480032429,0.4940765268579838,11866,10.030432443379462,0.966248047519573,50,0.65
SVD+Rerank_p50_l0.8,0.9382890028762503,7.4423595781211676,0.23563688407278674,0.18592545763907306,0.29620128690164754,0.5033848417954379,11525,9.9897364261278,0.966248047519573,50,0.8
SVD+Rerank_p50_l0.95,0.9405532764749887,7.93887662496934,0.2311183806992435,0.18564682976738442,0.29266963274989577,0.5094064262938435,11304,9.961506602215099,0.966248047519573,50,0.95
SVD+Rerank_p100_l0.5,0.9153510211124234,5.604010301692421,0.2876712328767123,0.08012539524343575,0.349839741337864,0.44470198675496686,14070,10.174447430142102,0.966248047519573,100,0.5
SVD+Rerank_p100_l0.65,0.9237031063774357,6.513882756929115,0.27364547127376815,0.07902727113221203,0.33735287446365103,0.4665685553102772,13384,10.102072791539145,0.966248047519573,100,0.65
SVD+Rerank_p100_l0.8,0.9284852922929797,7.204635761589404,0.2656716417910448,0.07529903565448097,0.33048640181815936,0.47848908511160165,12994,10.052409908311722,0.966248047519573,100,0.8
SVD+Rerank_p100_l0.95,0.931707839127259,7.797142506745156,0.2598650582702924,0.07202414239582304,0.32582174178549334,0.48643610497915135,12710,10.017362717231121,0.966248047519573,100,0.95
