model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,n_users_niche_rmse,n_users_mainstream_rmse,p_mwu_rmse_niche_vs_mainstream,p_welch_rmse_niche_vs_mainstream,p_mwu_rmse_niche_greater_mainstream,sig_rmse_mwu_005,n_users_niche_ndcg,n_users_mainstream_ndcg,p_mwu_ndcg_niche_vs_mainstream,p_welch_ndcg_niche_vs_mainstream,p_mwu_ndcg_niche_less_mainstream,sig_ndcg_mwu_005
ALS,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.00023136404604747252,0.0009582452641309297,0.001699802256887167,0.0768515548922819,2727,2693,0.014418253740047399,0.029920882555581424,0.0072091268700236995,True,2727,2693,0.019547001557252405,0.016769514969371496,0.009773500778626203,True
LogReg,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.0037712413070860513,0.0064203563219980084,0.004332781337462113,0.0768515548922819,2727,2693,0.014418253740047399,0.029920882555581424,0.0072091268700236995,True,2727,2693,0.2694816611153553,0.68333093725213,0.13474083055767766,False
RandomForest,1.022882809357519,1.0609666935710953,0.9409476978880957,0.0,0.0,0.0003779363389550684,0.08193511146942334,2727,2693,0.00015081388238939286,0.002457648413451948,7.540694119469643e-05,True,2727,2693,0.15474097872899306,0.16910656588205292,0.07737048936449653,False
SVD,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.00010600103642020091,0.00011010607010387022,0.0015028486559684748,0.06036988539615851,2727,2693,2.8979077726119643e-05,0.007533668655631402,1.4489538863059822e-05,True,2727,2693,0.056364026058843324,0.04300564025024846,0.028182013029421662,False
SVD+PoolMMR,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.00023662340059622662,0.00011538583642491908,0.0015767328016558194,0.06036988539615851,2727,2693,2.8979077726119643e-05,0.007533668655631402,1.4489538863059822e-05,True,2727,2693,0.15154804341301314,0.06193865587900149,0.07577402170650657,False
SVD+PoolPopAsc,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.0,0.0,0.0,0.06036988539615851,2727,2693,2.8979077726119643e-05,0.007533668655631402,1.4489538863059822e-05,True,2727,2693,1.0,,1.0,False
SVD+PoolPopDesc,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.0,0.00035269315541506613,0.0016115701681789934,0.06036988539615851,2727,2693,2.8979077726119643e-05,0.007533668655631402,1.4489538863059822e-05,True,2727,2693,0.004400396998481806,0.01137922132530555,0.002200198499240903,True
SVD+Rerank,0.9662943419915452,1.0218412407998365,0.9059244565953867,0.00011038870394718783,0.0,0.0005264810615495258,0.06036988539615851,2727,2693,2.8979077726119643e-05,0.007533668655631402,1.4489538863059822e-05,True,2727,2693,0.3109572508822379,0.20988993861788602,0.15547862544111896,False
TF-IDF,1.0235024945337101,1.0654800766464325,0.9466509396414282,0.01169425540036054,0.011790219227640668,0.0174882199604422,0.0768515548922819,2727,2693,0.014418253740047399,0.029920882555581424,0.0072091268700236995,True,2727,2693,0.010060229200473551,0.026044684958672615,0.005030114600236776,True
k-NN,1.0249087950594562,1.0763015796846098,0.9572438045096455,0.0012667044191756246,0.0010671268720240275,0.00041995163519177776,0.06766499054981068,2727,2693,2.6541497659098893e-13,7.609678670652291e-05,1.3270748829549447e-13,True,2727,2693,0.06038683428642529,0.1273312256164226,0.9698225572892869,False
