product_id,product_title,product_brand,product_department
PLID10617071,Logitech M90 HD Optical Mouse - Grey,Logitech,Computers & Tablets
PLID12183301,Logitech MK120 Wired Keyboard and Mouse With Whisper Quiet Keys - Black,Logitech,Computers & Tablets
PLID13031201,Baby Born - Diapers,Baby Born,Toys
PLID13031545,Rummikub Experience,Rummikub,Toys
PLID1471,GM Cricket Bat Oil,GM,Sport
PLID14916777,Bestway Pool Filter Cartridge (II),Bestway,"Garden, Pool & Patio"
PLID15124305,Canon Printer Ink - Canon Ink Cartridges PG-510 Black Ink,Canon,Office & Stationery
PLID15124307,Canon Cartridge CL-511 Color,Canon,Office & Stationery
PLID15125369,Sharp EL-231LB Pocket Calculator,Sharp,Office & Stationery
PLID15125839,Energizer Ultimate Lithium: Aa - 2 Pack,Energizer,"Garden, Pool & Patio"
PLID15201753,Cooler Master HTK-002 High Performance Thermal Paste,Cooler Master,Computers & Tablets
PLID15202103,DeepCool XFan 120mm Hydro Bearing Case Fan With Non-LED Lighting-BK,DeepCool,Computers & Tablets
PLID15202137,DeepCool XFAN 80mm Hydro Bearing Case Fan With Blue LED-CL,DeepCool,Computers & Tablets
PLID15204583,Fenjal Classic Creme Bath Oil 200ml,Fenjal,Beauty
PLID15204703,Endocil Moisturising Beauty Fluid - Sensitive Skin - 75ml,Endocil,Health
PLID15204851,Olay Active Fluid Regular 100ml,Olay,Health
PLID15204915,Gillette Satin Care Shaving Gel Sensitive Skin - 200ml,Gillette,Health
PLID15204947,Carmen Vitek Infrared Handheld Massager - Full Body Muscle Pain Relief Tool,Carmen,Health
PLID15204951,Carmen Facial Sauna with Inhaler -Steam Therapy for Skincare & Sinus Relief,Carmen,Beauty
PLID15205031,Caribbean Tan Bronzing Mousse - Gradual A,caribbeantan,Health
PLID15205033,Caribbean Tan Bronzing Mousse - Gradual B,caribbeantan,Health
PLID15205107,Lentheric Gravity Lateral Cologne,Lentheric,Beauty
PLID15205123,Lentheric Gravity Deodorant Spray,Gravity,Health
PLID15205133,David Beckham - Instinct Deodorant Spray - 150Ml,David Beckham,Health
PLID15205165,Lentheric Solo Ice Parfum Vaporisateur,Lentheric,Beauty
PLID15205167,Lentheric Solo Ice Parfum Vaporisateur,Lentheric,Beauty
PLID15205171,Lentheric Solo Original Parfum Vaporisateur,Lentheric,Beauty
PLID15205211,Yardley You're The Fire Him Eau De Toilette,Yardley,Beauty
PLID15205225,Yardley English Blazer Black Deodorant Spray,Yardley,Health
PLID15205293,Gillette Fusion Razor Blades - 4's,Gillette,Health
PLID15205307,Gillette Sensor Excel Cartridges Men 5'S,Gillette,Health
PLID15205561,Exclamation Original Cologne,Exclamation,Beauty
PLID15205597,Exclamation Perfume Body Spray,Exclamation,Health
PLID15205773,Revlon Charlie Original 50ml EDT Fragrance for Her,Charlie,Beauty
PLID15205781,Revlon Charlie Gold 50ml EDT Fragrance for Her,Charlie,Beauty
PLID15205783,Revlon Charlie Gold 90ml Perfumed Body Spray for Her,Charlie,Health
PLID15205813,Revlon Moondrops EDT 55ml Fragrance for Her,Revlon,Beauty
PLID15205839,Revlon Fire & Ice Roll On Anti Perspirant Woman 50ml,Revlon,Health
PLID15205843,Revlon Love Her Madly Original 90ml Perfumed Body Spray for Her,Revlon,Health
PLID15205919,Royal Secret Eau De Toilette,Royal Secret,Beauty
PLID15205925,Royal Secret Spray Concentre,Royal Secret,Beauty
PLID15205951,Lentheric Passione Perfume Body Spray,Lentheric,Health
PLID15206045,Yardley Touch of Lace Perfume Body Spray,Yardley,Health
PLID15206427,Rimmel Xtrasuplash Long Lash Mascara,Rimmel London,Beauty
PLID15206847,Yardley Stayfast Pressed Powder Refill,Yardley,Beauty
PLID15206963,Mavala Mini Color 5ml Natural,Mavala,Beauty
PLID15207431,"Carmen Wet & Dry Ceramic Hair Straightener - Fast, Smooth Styling, Black",Carmen,Beauty
PLID15207437,Carmen 1000W Multi-Style Hot Air Brush - Volumizing & Frizz-Free Styling,Carmen,Beauty
PLID15208121,Philips Satin Shave Essential Wet & Dry Electric Lady Shaver,Philips,Health
PLID15212785,Siku - Scale 1/87 Massey Ferguson Tractor,Siku,Toys
PLID15212979,Bburago 1:18 1955 Volkswagen Käfer-Beetle - Beige,Bburago,Toys
PLID15244599,Rimmel - Glam Eyes Day2 Night Mascara,Rimmel London,Beauty
PLID17012347,"NIVEA Soft Moisturising Cream, Body Cream with Jojoba Oil & Vit E, 200ml",NIVEA,Beauty
PLID17012351,"NIVEA Rich Nourishing Body Lotion with Deep Moisture Serum, 400ml",NIVEA,Beauty
