model,rmse_niche,rmse_diverse,rmse_mainstream,ndcg_niche,ndcg_diverse,ndcg_mainstream,delta_accuracy_rmse_niche_minus_mainstream,dataset
ALS,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.1708728682547373,0.1004099756961852,0.0726598892295189,0.0632600764193398,ml-100k
LogReg,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.0653095323940782,0.0305313158215645,0.0150585120338462,0.0632600764193398,ml-100k
RandomForest,1.0441947494192678,1.0221206790012047,1.0200722765237955,0.1043802714135076,0.0644087592201311,0.0363177582305976,0.024122472895472,ml-100k
SVD,0.9346036754098852,0.9252874633408728,0.9294481741665264,0.1465297203014767,0.080516042268657,0.043506359423945,0.005155501243359,ml-100k
TF-IDF,1.1353929932344202,1.0948294632183826,1.0721329168150804,0.0659510156643459,0.0346465780960388,0.0233622739771076,0.0632600764193398,ml-100k
k-NN,1.023488057368389,0.9802473520390514,0.9754960262297512,0.1514273901396312,0.0828191976795843,0.0415562349187266,0.0479920311386378,ml-100k
ALS,1.147076175067366,1.0799910344514472,1.0748132405395197,0.1396038654209213,0.0902342036263454,0.0508090351198637,0.0722629345278462,ml-1m
LogReg,1.147076175067366,1.0799910344514472,1.0748132405395197,0.039623595611184,0.0192838685873092,0.0119637190225949,0.0722629345278462,ml-1m
RandomForest,1.0190751240234286,0.9696275284878364,0.9670950481717102,0.060439555159954,0.03951027621176,0.0250711274053323,0.0519800758517183,ml-1m
SVD,0.8740215983849388,0.867674773300656,0.8772367417870217,0.1274485740249178,0.0874995923052189,0.0572316598560913,-0.0032151434020829,ml-1m
TF-IDF,1.147076175067366,1.0799910344514472,1.0748132405395197,0.0697282890039662,0.0549301447635215,0.0327150678639348,0.0722629345278462,ml-1m
k-NN,0.9974705635360296,0.9481664178472547,0.9492681887720584,0.0791628245107154,0.0434374732899534,0.0231017278865253,0.0482023747639711,ml-1m
ALS,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.0210483737130393,0.0508999566498347,0.0254368114453738,-0.0246722675651653,lastfm-2k
LogReg,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.0310452697535155,0.0283751350716032,0.0743381452062995,-0.0246722675651653,lastfm-2k
RandomForest,1.1765875891748212,1.2506750591833533,1.2454363714465808,0.0132004430314878,0.0154921075330653,0.0641886920396875,-0.0688487822717596,lastfm-2k
SVD,0.8363626615296484,0.9051499112678776,0.9503389661829024,0.0157231328584747,0.0215336877337943,0.0913990702191975,-0.113976304653254,lastfm-2k
TF-IDF,1.3924923044359123,1.4177105101973309,1.4171645720010777,0.1507345615185636,0.1403198227311846,0.2556993457561411,-0.0246722675651653,lastfm-2k
k-NN,1.3946822581119092,1.4217052301920945,1.3642986736467375,0.0,0.0008267049991264,0.0001322061871478,0.0303835844651716,lastfm-2k
ALS,1.7426560601649,1.6718827792420363,1.7294594483681278,0.0124342719304311,0.0123451274653881,0.0115886777213443,0.0131966117967721,book-crossing
LogReg,1.7426560601649,1.6718827792420363,1.7294594483681278,0.0592160974807613,0.0502039872945019,0.0407872727767965,0.0131966117967721,book-crossing
RandomForest,1.5813719777289106,1.5817319992755563,1.634659946227306,0.0094644754609941,0.0075562424560432,0.0085410638929371,-0.0532879684983953,book-crossing
SVD,1.4845328213920952,1.4927374648778595,1.5165437010943836,0.002351897566063,0.0085063577730743,0.010147585415792,-0.0320108797022884,book-crossing
TF-IDF,1.7426560601649,1.6718827792420363,1.7294594483681278,0.1119765877717597,0.0820835801257175,0.073667226189818,0.0131966117967721,book-crossing
k-NN,1.854645908421085,1.7226188194534091,1.7419497136618287,0.0008051251866794,0.0016343364489128,0.0028689878007106,0.1126961947592564,book-crossing
